Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso memória,% de uso de CPU,Qnt de cores de CPU
19:15:10,6.266,300,2.09,0.02,4
19:15:12,6.266,300,2.09,0.00,4
19:15:14,6.266,300,2.09,0.02,4
19:15:16,6.266,300,2.09,0.02,4
19:15:18,6.266,300,2.09,0.00,4
19:15:20,58.02,300,19.34,0.86,4
19:15:22,58.02,300,19.34,0.06,4
19:15:24,58.02,300,19.34,0.71,4
19:15:26,58.02,300,19.34,0.21,4
19:15:28,58.18,300,19.39,3.20,4
19:15:30,58.15,300,19.38,0.21,4
19:15:32,58.15,300,19.38,0.52,4
19:15:35,58.15,300,19.38,0.86,4
