Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso de CPU
20:59:3,12.375,600.000,0.040
20:59:4,14.375,600.000,0.040
20:59:5,122.730,600.000,48.930
20:59:7,122.670,600.000,3.110
20:59:9,122.670,600.000,0.670
20:59:11,122.700,600.000,0.910
20:59:13,124.070,600.000,0.650
20:59:16,124.080,600.000,0.510
20:59:18,124.130,600.000,8.970
20:59:20,62.150,300.000,0.650
