Timestamp,Uso de memória
21:9:22,34.421
21:9:23,34.455
21:9:24,35.455
21:9:25,35.460
21:9:26,36.461
21:9:27,37.462
21:9:28,37.464
21:9:29,38.437
21:9:30,38.104
21:9:31,38.904
21:9:31,38.904
21:9:32,38.160
21:9:33,38.255
21:9:34,39.889
21:9:35,39.570
21:9:36,42.571
21:9:37,39.572
21:9:38,39.573
21:9:39,38.574
21:9:40,37.597
21:9:41,35.667
21:9:42,33.136
21:9:43,32.305
21:9:44,32.306
21:9:45,32.307
