Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso de CPU
21:7:12,0.000,1200.000,0.000
21:7:13,10.000,1200.000,0.000
21:7:14,51.940,1200.000,101.840
21:7:16,244.400,1200.000,8.970
21:7:18,244.530,1200.000,1.870
21:7:20,244.550,1200.000,2.600
21:7:22,248.070,1200.000,67.810
21:7:24,248.030,1200.000,0.650
21:7:26,248.030,1200.000,1.110
21:7:28,248.240,1200.000,2.390
