Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso de CPU
21:9:34,10.000,1800.000,0.000
21:9:35,12.000,1800.000,5.000
21:9:36,233.650,1800.000,428.760
21:9:38,367.520,1800.000,7.450
21:9:40,367.520,1800.000,1.460
21:9:42,369.230,1800.000,32.590
21:9:44,372.040,1800.000,2.110
21:9:46,372.040,1800.000,1.670
21:9:48,372.440,1800.000,9.450
21:9:51,124.130,600.000,1.440
