Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso de CPU
21:12:15,5.000,2100.000,0.000
21:12:21,194.159,2100.000,317.780
21:12:23,428.780,2100.000,6.490
21:12:25,428.810,2100.000,3.410
21:12:27,433.910,2100.000,34.370
21:12:29,433.980,2100.000,2.660
21:12:31,434.220,2100.000,9.900
21:12:33,372.330,1800.000,3.730
21:12:36,0.000,0.000,0.000
