Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso memória,% de uso de CPU,Qnt de cores de CPU
19:27:40,6.172,300,2.06,0.01,4
19:27:42,6.172,300,2.06,0.00,4
19:27:44,6.172,300,2.06,0.02,4
19:27:46,6.172,300,2.06,0.03,4
19:27:48,6.172,300,2.06,0.00,4
19:27:50,16.91,300,5.64,44.13,4
19:27:53,61.95,300,20.65,2.07,4
19:27:55,61.96,300,20.65,0.18,4
19:27:57,62.09,300,20.70,1.10,4
19:27:59,61.96,300,20.65,0.20,4
19:28:1,62.71,300,20.90,65.44,4
19:28:3,62.84,300,20.95,0.22,4
19:28:5,62.84,300,20.95,0.38,4
